;;;;;;;;;;;;
Прайс-сток;;;;;;;;;;;;
;;;;;;;;;;;;
Артикул;;Штрихкод;;Модель;Наименование;Бренд;Категория;РРЦ;Цена;Остаток Бизнес Контроль;Остаток поставщика;Итого
110006524;;8850207517021;;R-V 472 PU8 BBK;Холодильник Hitachi R-V 472 PU8 BBK;Hitachi;Холодильники;79 950;73 700;0;0;0
110006595;;4549873040516;;R-X 690 GU X;Холодильник HITACHI R-X 690 GU X;Hitachi;Холодильники;749 950;605 000;0;0;0
110006582;;8850207511494;;R-W 662 PU7 GPW;Холодильник HITACHI R-W 662 PU7 GPW;Hitachi;Холодильники;229 950;133 595;0;0;0
110006576;;8850207506117;;R-VG 542 PU7 GPW;Холодильник HITACHI R-VG 542 PU7 GPW;Hitachi;Холодильники;149 950;132 000;0;0;0
110006585;;8850207509668;;R-W 662 PU7X GBW;Холодильник HITACHI R-W 662 PU7X GBW;Hitachi;Холодильники;235 950;155 870;0;0;0
110006578;;8850207506780;;R-VG 662 PU7 GGR;Холодильник HITACHI R-VG 662 PU7 GGR;Hitachi;Холодильники;211 950;124 685;0;0;0
110006591;;8850207480257;;R-W 722 PU1 INX;Холодильник HITACHI R-W 722 PU1 INX;Hitachi;Холодильники;179 950;147 400;0;0;0
110006579;;8850207506797;;R-VG 662 PU7 GPW;Холодильник HITACHI R-VG 662 PU7 GPW;Hitachi;Холодильники;211 950;124 685;0;0;0
110006597;;8850207524692;;R-WB 642 VU0 GMG;Холодильник HITACHI R-WB 642 VU0 GMG;Hitachi;Холодильники;249 950;220 000;0;0;0
110006581;;8850207511463;;R-W 662 PU7 GGR;Холодильник HITACHI R-W 662 PU7 GGR;Hitachi;Холодильники;149 950;133 595;0;0;0
110006583;;8850207509675;;R-W 662 PU7X GBE;Холодильник HITACHI R-W 662 PU7X GBE;Hitachi;Холодильники;235 950;155 870;0;0;0
110006584;;8850207509644;;R-W 662 PU7X GBK;Холодильник HITACHI R-W 662 PU7X GBK;Hitachi;Холодильники;235 950;155 870;0;0;0
110006586;;8850207509651;;R-W 662 PU7X GGR;Холодильник HITACHI R-W 662 PU7X GGR;Hitachi;Холодильники;174 950;155 870;0;0;0
110006590;;8850207483357;;R-W 722 PU1 GGR;Холодильник HITACHI R-W 722 PU1 GGR;Hitachi;Холодильники;179 950;155 100;0;0;0
110006592;;8850207523169;;R-WB 562 PU9 GBK;Холодильник HITACHI R-WB 562 PU9 GBK;Hitachi;Холодильники;211 950;124 685;0;0;0
110006596;;4549873040509;;R-X 740 GU X;Холодильник HITACHI R-X 740 GU X;Hitachi;Холодильники;632 950;517 000;0;0;0
110007376;;4620016721247;;EVH 642 BLACK;Электрическая варочная поверхность LEX EVH 642 BLACK;Lex;Варочные панели электрические;19 990;14 293;0;10;10
110007368;;4620016721223;;EVH 320 BLACK;Электрическая варочная поверхность LEX EVH 320 BLACK;Lex;Варочные панели электрические;10 990;7 858;0;10;10
